algebra_name,algebra_pool
USDT-USDC,0x1b9a1120a17617D8eC4dC80B921A9A1C50Caef7d
USDT-WBNB,0xD405b976Ac01023c9064024880999fC450A8668b
ETH-WBNB,0x1123E75b71019962CD4d21b0F3018a6412eDb63C
BTCB-WBNB,0x6B67112aa7b45E8CdC0a93B8D66A6A36e68ae8e5
FTM-WBNB,0xf6814792050cCD1c603d8a95468d6D9587eCBDAF
WBNB-THE,0x51Bd5e6d3da9064D59BcaA5A76776560aB42cEb8
CGPT-BUSD,0x8731bB0202dEb31a93B3178b674e51c3Cc49b285
BNBx-RDNT,0x0f28AE1Eea69ddA12Bc89419f7E8552dD191c98e
ankrBNB-RDNT,0x09547029e78413571c79791654667c4c4d3322D6
WBNB-stkBNB,0x84b78452A97C5afDa1400943333F691448069A29
BNBx-WBNB,0xf2A4e4261FCDfBB891BCF703640Fbe713c6cD0fE
ankrBNB-WBNB,0x2F6C6e00E517944EE5EFE310cd0b98A3fC61Cb98
WBNB-MATIC,0x775CAc1c1b47250121291934d15912Efb69213E9
ID-WBNB,0xB66566fD115CAf17633504A5165a319F17D9F096
FIL-WBNB,0x17661065fBc18e782A259Db2022bC23bC74Bd942
GHNY-WBNB,0xCc3aeC37005fcC95288bfB046E5aE789cc322099
WBNB-DEUS,0x6a524C7328eb652248d1a3786f9DB0e74CA961F0
WBNB-LQDR,0x19934Ce0f772EC67873Bbd1127f173e6c79856a3
XCAD-WBNB,0xe2624920C88b470B78EFAdfdE51Dd0E2C841934B
GRAIN-WBNB,0x1f060bE9D1D3Bd3ACC5392aC066C6B437780ABe0
USDT-FLOKI,0x5135c813d5f9d3624221b3BdBaC805339Fa5a591
wUSDR-USDC,0x3f8062cf591a918Bc3B183fa241ec49efBd30e2b
USDT-THE,0x98A0004b8E9fE161369528A2e07De56c15A27D76
lisUSD-USDT,0x5B0BAf66718caaBDa49A4Af32eB455c3b99B5821
ETH-USDT,0xa60a504d92a1C95bda729C3F745B361cA822d6dd
WBNB-EDU,0x4bD39cfb05545c4238316dA69eCadA1b4CaABC05
BNBx-FRAX,0x8aB8FD902039A48e51735452b1f97c93cB034E80
OKSE-WBNB,0x088c568dc3123FC40dd153918125ee27027Dd6E7
DOGE-WBNB,0xfF4840a06708E53b620E2670295265029fA72a78
TWT-WBNB,0x1A2a83DEaB03dc7110080E7f83DF7FFE36681289
