name,address,type,gauges,bribe_ca
vAMM-WBNB/BUSD,0x483653bcF3a10d9a1c334CE16a19471a614F4385,vAMM,0x7144851e51523a88EA6BeC9710cC07f3a9B3baa7,0x71ccB5Dc20676418F196F814B564313f4E85aB8a
vAMM-ETH/WBNB,0x1d168C5b5DEa1c6dA0E9FD9bf4B7607e4e9D8EeC,vAMM,0x9A0C07d7b9d0e0A82ccb12049876e2FB6bf96D0f,0x5bbccB1c8359d4E2C07deD8bEb562CAF3Df8eaEB
sAMM-USDT/USDC,0x618f9Eb0E1a698409621f4F487B563529f003643,sAMM,0x19Beb32Dc0fB085Ef372E96E946BE21eCeE3fC51,0x0120d434AD826a3a0a9F4c9A3BbfF52c622DF467
sAMM-USDT/BUSD,0x6321B57b6fdc14924be480c54e93294617E672aB,sAMM,0x41adA56DD5702906549a71666541a39B0DbcEb12,0xbA64125852b442D6fd46b97f12037089E7adBACA
vAMM-BTCB/WBNB,0xD328D129E46f9B978416599913102e8CD64593F3,vAMM,0xDD35503b77277a6D810fEa6479C92bbCE5bbb412,0xF0308D005717858756ACAa6B3DCd4D0De4A1ca54
vAMM-WBNB/stkBNB,0x2B3510f57365aA17bFF8E6360EA67C136175dC6D,vAMM,0xf26C84237F6C4a2268ac1D699475d2E07689ffb4,0xa012C11D60b95Fb9ee66D87827868869228AD108
vAMM-BNBx/WBNB,0x6c83E45fE3Be4A9c12BB28cB5BA4cD210455fb55,vAMM,0x0Df5Dfe92A0568373DA2d705Cdb5F68017c4B19A,0xb76756F06BD56439e3F940a16DDdBC76a99c0B66
sAMM-ETH/frxETH,0x8A420aACA0c92e3f97CDcFdd852e01Ac5b609452,sAMM,0x33a357faD7DD41692f2403b919225f0624eA50ff,0x486B3cbE3fac82492220f646D890cA805BE2726a
sAMM-HAY/BUSD,0x93B32a8dfE10e9196403dd111974E325219aec24,sAMM,0xE43317c1f037CBbaF33F33C386f2cAF2B6b25C9C,0xA08948C3AC1143Bf2f09F95b694Ae19d1AD3a77C
sAMM-USDT/FRAX,0x8D65dBe7206A768C466073aF0AB6d76f9e14Fc6D,sAMM,0x4b1F8AC4C46348919B70bCAB62443EeAfB770Aa4,0x7AF074B8312462b6FeD7a170a44fd0188FCa3ceE
sAMM-DOLA/CUSD,0x7061F52ed4942021924745D454d722E52e057e03,sAMM,0xC2B56de677e6d35327E1Cf3dAF2357f20a4c8692,0x90d31D2d9885a63C772bD8f71734114E59A43f0D
sAMM-ETS Alpha/USD+,0x92573046BD4abA37d875eb45a0A1182ac63d5580,sAMM,0x8871105347CA6b8e35fB689EEA11AA0AAA3651E4,0x90AB86ddD5FDaE0207367c2d09e10ef1Fb3cb651
sAMM-MAI/FRAX,0x49ad051F4263517BD7204f75123b7C11aF9Fd31C,sAMM,0x556B0b722CC72369CEA0Ea9c4726a71Fb2D1772d,0xbA86cb779d30fe8Adcd64f15931A63f6bae261DD
vAMM-WBNB/THE,0x63Db6ba9E512186C2FAaDaCEF342FB4A40dc577c,vAMM,0x638b0cc37ffe5a040079F75Ae6C50C9A386dDCaF,0x25eaB4dD9Db4094bdAfDDFa513C28E6363caeBe2
vAMM-ankrBNB/ANKR,0x7ef540f672Cd643B79D2488344944499F7518b1f,vAMM,0xfeb1D7E820Caad858c9eeBB12c0B693875Cf4487,0x46fd897EdE9B689a00C2C6A3b05dbc5FA48B97d5
sAMM-USDT/DEI,0x5929dbBc11711D2B9e9ca0752393C70De74261F5,sAMM,0x1520D103D8B366C87A0b273E68a56B5f804c1947,0xaB1Ad7FA79508ac913d3C30EA8952a4486a74451
vAMM-BUSD/THE,0x34B897289fcCb43c048b2Cea6405e840a129E021,vAMM,0x8a8Ec422Fc51B2A88dD5BE489C40aAF1E1fa73d0,0x844d88be2fDB01848bf726C26949E989928e3D29
vAMM-DAO/BUSD,0xF81b6B8aAaD4c37F6F2E8Aa9988f28ea8E82Bb49,vAMM,0xaAB6d1C17EfC04507B993A6fE050d5632C54d6b2,0xd17f0fd43f6569F17Ef6c268a753cd7CE8868E8d
vAMM-wUSDR/USDC,0xA99c4051069B774102d6D215c6A9ba69BD616E6a,vAMM,0x2e537237143ABf74A176d0067bEEbeEbe845300a,0x3AD1a19416c527D21513c5146Aff743893b039fd
vAMM-GHNY/WBNB,0xA97E46DC17e2b678e5f049A2670fAe000b57F05E,vAMM,0x42EcaE09934DC71af220c84663c0A5C835DD0fC8,0x7879bb7EF4f4AD997F9De4e1A3AA4E0C6104F780
vAMM-WBNB/DEUS,0xC8Da40f8A354530F04CE2dDe98Ebc2960a9eA449,vAMM,0x04034f879a737233bF0ef278B50FD06CC70C87e4,0x50437C8AD1fC8c40BF361d531a4f0eD215175eA1
vAMM-USDC/FTM,0x535AEEab656c0fBb07DA64fe4AA3A15Dfc6834C8,vAMM,0x937BA7A421c4b916F77C7CD2068D37d6F4CD3790,0xeAa155599b015063Ba2bae551d68525c0510E6A3
vAMM-WBNB/OATH,0xAF6389e0281337cf810b5843EBaE12dbF5A0eAf4,vAMM,0xb45146843EdC26D96B75F625D1298489e14A1A20,0xf96D0fe445f23cadE38701A67a7d4E368005678a
sAMM-USDC/BUSD,0x7e61c053527A7Af0c700aD9D2C8207E386273222,sAMM,0x11E79bC17cb1fF3D4f6A025412ac84960B20Ba81,0x1Fcf78A46c6a74776c7641382579E0Aa7987f39F
vAMM-MATIC/BUSD,0xEB58A4D07990fF50b9F8289701cBdDf9052570B5,vAMM,0x8Da503434F19af7e2eaE955f60634b67651049A8,0x912aB3A1d92a913aE0A186E5E52c3bB27c93c3d5
sAMM-sfrxETH/frxETH,0xc2D245919dB52eA4D5d269b0C710056639176eaD,sAMM,0x82d30c5dCd9C980714E3F9F8E8CEe7c9bdD13d06,0x068875E5BBe89Ab1eF0A8E62e5650107875f0C39
vAMM-XCAD/BUSD,0x8dDc543CB4Be74D8A4979DcCFC79C18BdEFd2Dad,vAMM,0x8395bC73C80a689F57bD987594936E15eA741C45,0x1A45c383F657fE9615b3e2Ed05c821e55f1Ab76C
sAMM-USD+/CUSD,0x150990B9630fFe2322999e86905536E2E7e8d93f,sAMM,0x1B230BB3fa2d1257c3D82227207C530020dED298,0x8828Bd1b7abc5296D3FcfEb15F58c23088410449
vAMM-XCAD/WBNB,0x3Ec80A1f547ee6FD5D7FC0DC0C1525Ff343D087C,vAMM,0xA6fccd530AE7C4de8bCA9fF28403ea49637780Bf,0xEea7cc4d3281773827Da0E62E116Eff86fD4DCc7
vAMM-MULTI/WBNB,0x075E794F631eE81df1aadB510aC6Ec8803B0FA35,vAMM,0x8e89554687Aa59763362a32Da0117D70a72f568B,0x1647F420A7f76F64740A58f3d6f9a962525912C9
vAMM-FIL/WBNB,0x1f06C7E323Bc3A5C94Bb6B760C128830cDF6ADfB,vAMM,0xB67505085E556765cD5a0C3cDE2d15794C3119b5,0x39312fC2fb7561768961561071FB5cC2f3f54e4e
vAMM-DOLA/WBNB,0xc5856601712E8a74d57cdc7a47fB1B41C1a6Fae2,vAMM,0xA71bF9252106aB196F0494F5eCe149e71807c1eC,0x88F8C7C6F2F4615973d870f56Aae9E3b5418887E
vAMM-WBNB/LQDR,0xEC4484c7F7671914E897b1AEb8418Fe12E320f21,vAMM,0x3B6321Dc8E795CA8175656981e229b47F4f7c015,0xC615eD3A40354F158e6234B04519CAC735BA045B
vAMM-ETH/XCAD,0xe2d25A87e97a1016c35F736Ea77A4d6Bd1919E74,vAMM,0xAe89c4fF9Bebe617007c9dE371B6cac6cf324AB8,0x60c5BDbB9713B491c7B5FD3D7a9faCBfC712265C
vAMM-LIBERA/WBNB,0x7d68e7B1aB7af2fD98827Bb4e2c652A2430141f8,vAMM,0xB45F26760B0FFB3ED044A84672e62EdE80e4a52D,0x55d478Ae4C407078b30a515d0Addce07C939a236
vAMM-frxETH/FRAX,0x0D8401cBc650e82D1F21A7461efC6409Ef55C4Db,vAMM,0xB9EE49D6aCCECa8E97Fb4E8c08378ceDC8070B00,0x2e28f2a1113e3cDE6C417114EA3da13fD5b09291
vAMM-DAO/WBNB,0x948c553D8c25Ad7bD034086F0AaE9a9D3c028B90,vAMM,0x82a41D1F472e5f26E6b591e427CDE31932c0f5f1,0x6EF6B15D96fF14801c93b37da4189924fe2b9d53
vAMM-BNBx/USDT,0x19420fa1D0E350b5d46a8D3B24Ff2421744eB54E,vAMM,0x74619E802aAC2A8A6D17Bc913E0585a026AFD152,0x9A491cAF7BC21c397A3b695dccD5e2890D6b2F7d
vAMM-IPAD/BUSD,0xc54f536FF19FFcE40A82cCa2903B1D7D48Af69e4,vAMM,0x8cb534a6c2220597E11C0Bb29C43387480d1a512,0x09c8B34BFDd632Fa8f95727cf943e0fb0765FC5B
vAMM-TAROT/WBNB,0xB2604B72b3Aa4aF8d0419c736de2D261b40ec755,vAMM,0xf49BFF8Fb6A0AD43475D28Be955E62c10c50A998,0x0FD221E7a67C9E4550D5AdCB9792decE1eff7B1f
vAMM-AVAX/WBNB,0x7B2F91d226aD214Ac42ba21a597d99896311eCD1,vAMM,0x896256c48341B8E2B16AcFc9189D844624bD609B,0xdDA1D9253C513379b09591F25E9e9b854FDE150c
vAMM-IDIA/BUSD,0x3c552e8aC4473222e3d794ADecFA432Eace85929,vAMM,0xf9b5cb99a576eB9c00446b7FdDB69bbb2E002143,0x48C99d7d0E8fA3DD6932E7F0E772cD0373e305AB
sAMM-jBRL/BRZ,0xA0695f78AF837F570bcc50f53e58Cda300798B65,sAMM,0x16986d091A0d168F8d64D3180811D56ff52Bfb66,0xA4F8D77c08ef702C2A718925AA845855016ba8c7
vAMM-HAY/ankrBNB,0xC6dB38F34DA75393E9aac841c08104348997D509,vAMM,0xe5f9F06d6eCE3DfE30dca7AcbB20bc7fbA9c6272,0x2BEC1EEC49172b2b9F47F7dbD1Be29A04eDddB37
vAMM-USDT/TAROT,0x8efeeAE90E67051c4F9130DD4f27d5D443E58A8b,vAMM,0xda6Fc5422475c424928F3A21E9B8d9F80b1dB190,0xA04433d44DC8e133b7b958f8bF5083Afb55cb182
vAMM-XCAD/dXCAD,0x3f4d5c667D918DcE84c89cC63998776d21081089,vAMM,0xAD9FD07404E26dD7c2a837405E07D41a09891167,0xe38f473c62D9Ea9c9494c1B767D61b2125366A95
