name,address,type,algebra_pool,new_symbol,new_type,gauges,fee_ca,bribe_ca,new_name
vAMM-USDT/TONCOIN,0x48821e0eD39e50AebEb1B079132B4C6604934F62,vAMM,,USDT/TON,Volatile,0x65ca16EA167944C4A1fE2db7860AED5c3b2a1546,0xCE629312866eCF2d4942a951798cA5E6e58B71C3,0xf15312C0dFd192B3b7e9E38CB9147fA7a93Be516,USDT/TON - Volatile
vAMM-USDT/NRG,0x84c033a9091067817A047a88bBE662B1bE3b79A5,vAMM,,USDT/NRG,Volatile,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,USDT/NRG - Volatile
aETH-wstETH bEcD,0xF2213b8a5c56421F018254eB2D0C03Df002fbEcD,CL,0xFa71B01d2fE9337fEc17A7b5Af294F8Ef6040F3A,ETH/wstETH,Correlated,0x2633A9Caa0F7B3f9acC4372A454E45221660D36E,0xe2315f7c17dF1b2e502A183F053c4f49d0033a99,0xcA30175D97Dea97d74a7064DC05ebE0E44E2cCb8,ETH/wstETH - Correlated
vAMM-stkBNB/THE,0x2AFED1cA1bC414e123b1C4e30E8F6FC513C8Ee72,vAMM,,stkBNB/THE,Volatile,0xa1c4EC3634c7E4a965bdC9aC361E6C53D2415391,0x4e768B93Df94269700b740e5c8D90d15AbeA4c4A,0x4e74C1fF50eeE346c88f0BE846E2288c9D3C3539,stkBNB/THE - Volatile
vAMM-WBNB/ANKR,0xE934278276c0274aac95DADB9783F02A27c351Ff,vAMM,,BNB/ANKR,Volatile,0x460dfe291bA48E5A498DA29025fFdE46F776aaFb,0xe9ce7B8D57c82aEc1E49D59Fa4bD3A435C9e6CA6,0x4698A5534AD6731D201DC3fdc9E8fc69f03a5C77,BNB/ANKR - Volatile
vAMM-USDT/FLOKI,0x537672472Bec1246eE9419e1716e221c9d0c04f6,vAMM,,USDT/FLOKI,Volatile,0x328cC2Fb8e3e69E8DD2BC67488f886820F1D5752,0x064441A3fDEAA279bD5312c7f8398a12483d9869,0xf022E496699953486A7bCab0639C57F328740ED4,USDT/FLOKI - Volatile
IV-37-THE F310,0x51b94Db7506112EbBed32554F6A344374a98F310,CL,0xD688108301DF5D939bf272eb378429488a72eA52,wstETH/BNB,ICHI,0x26C4f18508743B30945A123B9A69104054BE1adb,0xEb4249e7fF91F490843278Ec83F45D1AA6a0577b,0xA16BE8A25d1f019d537132d514D14b42d6bfc707,wstETH/BNB - ICHI
vAMM-WBNB/rBNB,0xf9Cf0b2fF50D13ABa7aaD7e9314b096bfC0ACE7c,vAMM,,BNB/rBNB,Volatile,0x909Bd7ea6f40d8183d9F84d452F884a11243648B,0xb10203e169A06B1c24f36B20431182756ef1488F,0x334dfEE6fCc821825A5dc7ffB3B73EF4Ef7c7807,BNB/rBNB - Volatile
sAMM-DAI/USDT,0xbabEF76f5fA36a37236E0467beE30BacBC371AA6,sAMM,,DAI/USDT,Stable,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,DAI/USDT - Stable
vAMM-USDC/PLAY,0x16184EC3a17285B33c22B6252c2D94Ca54D03341,vAMM,,USDC/PLAY,Volatile,0x0a9555e82166a99A8CC9fDC23Cd5CB88d6BE278a,0x512A4fe3Df6d1A960193B8A62c2E413dDFcC87DC,0xA65Fa008ddb928d65504A1C0da0F521b16C08bC0,USDC/PLAY - Volatile
vAMM-OOE/BUSD,0x15538fc89447927CfEF14Ff2e5F7d870FeE98330,vAMM,,OOE/BUSD,Volatile,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,OOE/BUSD - Volatile
