[2023-02-06 09:41:07,959] 	INFO 	27 	day_data.py 	<module>() 	Process Started
[2023-02-06 09:41:08,166] 	ERROR 	67 	day_data.py 	<module>() 	Error occurred during the process. Error: 'str' object has no attribute 'keys'
[2023-02-06 10:00:48,896] 	INFO 	26 	day_data.py 	<module>() 	Process Started
[2023-02-06 10:00:49,104] 	ERROR 	63 	day_data.py 	<module>() 	Error occurred during the process. Error: '_Environ' object is not callable
[2023-02-06 10:02:59,632] 	INFO 	26 	day_data.py 	<module>() 	Process Started
[2023-02-06 10:02:59,841] 	ERROR 	63 	day_data.py 	<module>() 	Error occurred during the process. Error: 'GKey'
[2023-02-06 10:05:04,002] 	INFO 	26 	day_data.py 	<module>() 	Process Started
[2023-02-06 10:05:06,349] 	INFO 	61 	day_data.py 	<module>() 	Process Ended
[2023-02-06 10:11:04,244] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-06 10:11:06,454] 	INFO 	61 	day_data.py 	<module>() 	Day Data Ended
[2023-02-06 10:17:21,361] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-06 10:17:23,849] 	INFO 	61 	day_data.py 	<module>() 	Day Data Ended
[2023-02-06 11:12:46,696] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-06 11:12:49,135] 	INFO 	61 	day_data.py 	<module>() 	Day Data Ended
[2023-02-06 11:31:48,788] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-06 11:31:51,420] 	INFO 	61 	day_data.py 	<module>() 	Day Data Ended
[2023-02-06 12:19:25,679] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-06 12:19:28,929] 	INFO 	61 	day_data.py 	<module>() 	Day Data Ended
[2023-02-06 14:48:25,657] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-06 14:48:27,747] 	INFO 	61 	day_data.py 	<module>() 	Day Data Ended
[2023-02-06 15:10:45,322] 	INFO 	26 	day_data.py 	<module>() 	Day Data Started
[2023-02-06 15:10:48,466] 	INFO 	60 	day_data.py 	<module>() 	Day Data Ended
[2023-02-06 15:11:51,147] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-06 15:12:12,270] 	INFO 	68 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-06 15:12:12,270] 	INFO 	71 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-06 15:12:35,456] 	INFO 	137 	pair_data.py 	<module>() 	Pair Data Ended
[2023-02-06 18:06:42,847] 	INFO 	28 	pair_data.py 	<module>() 	ID Data Started
[2023-02-06 18:06:57,605] 	INFO 	68 	pair_data.py 	<module>() 	ID Data Ended
[2023-02-06 18:06:57,605] 	INFO 	71 	pair_data.py 	<module>() 	Pair Data Started
[2023-02-06 18:07:18,886] 	INFO 	137 	pair_data.py 	<module>() 	Pair Data Ended
